foramtype,count,mean,std,min,max
G. bulloides,291.0,13.554058746783594,6.87549097193278,1.8433898687362669,29.55580711364746
G. ruber,489.0,24.87457298013574,3.7787593596992486,10.91064167022705,29.55580711364746
N. incompta,90.0,11.475131310356987,4.676043251976749,2.6319024562835693,19.580001831054688
N. pachyderma,273.0,6.083500529233461,4.331277950574478,0.0514366626739502,21.383981704711914
T. sacculifer,243.0,24.476573061060023,4.040580795502463,10.636134147644043,29.55580711364746
