corename,species,latitude,longitude,d18oc,temp,temp_ann,d18osw
TR163-21,ruberwhite,0.607,-93.305,-1.37,,24.494354248046875,0.1922726184129715
TR163-23,ruberwhite,0.41,-92.16,-1.54,,25.08376121520996,0.1823488026857376
Troll 3.1,pachyderma,60.78,3.71,1.253,,9.469456672668457,0.09682170301675797
V10-49,bulloides,36.08,26.83,0.92,16.72372703552246,19.563663482666016,1.615890383720398
V10-49,ruberwhite,36.08,26.83,0.6,16.72372703552246,19.563663482666016,1.615890383720398
V10-51,bulloides,35.92,27.3,1.02,16.656015396118164,20.084936141967773,1.6409331560134888
V10-51,ruberwhite,35.92,27.3,0.53,16.656015396118164,20.084936141967773,1.6409331560134888
V16-121,bulloides,-51.0,164.0,1.1793,8.002393960952759,8.68317699432373,-0.13199099898338318
V16-122,bulloides,-47.0,172.0,1.484,7.9449888865153,9.669693946838379,0.057969119399785995
V19-27,ruberwhite,-0.467,-82.067,-2.1,24.205944061279297,24.205944061279297,0.13177832961082458
V19-27,sacculifer,-0.467,-82.067,-1.91,24.205944061279297,24.205944061279297,0.13177832961082458
V19-28,ruberwhite,-2.367,-84.65,-1.57,22.055471420288086,22.055471420288086,0.2468332052230835
V19-28,sacculifer,-2.367,-84.65,-1.29,22.055471420288086,22.055471420288086,0.2468332052230835
V21-29,sacculifer,-1.05,-89.35,-1.47,23.09092903137207,23.09092903137207,0.2387910932302475
V21-30,ruberwhite,-1.22,-89.68,-1.5,23.09092903137207,23.09092903137207,0.2387910932302475
V21-30,sacculifer,-1.217,-89.683,-1.48,23.09092903137207,23.09092903137207,0.2387910932302475
V21-40,ruberwhite,-5.517,-106.767,-1.61,25.087289810180664,25.087289810180664,0.3999630808830261
V21-40,sacculifer,-5.517,-106.767,-1.22,25.087289810180664,25.087289810180664,0.3999630808830261
V24-157,sacculifer,-14.05,147.92,-1.76,26.992691040039062,26.992691040039062,0.3972075581550598
V24-170,sacculifer,-12.48,146.88,-1.75,26.99830436706543,26.99830436706543,0.3696436583995819
paleo SU 9002P,ruberwhite,40.57,-30.94,-0.06,,17.797924041748047,0.8304075002670288
paleo SU 9003P,ruberwhite,40.08,-32.0,-0.34,,18.520193099975586,0.8386810421943665
paleo SU 9004P,ruberwhite,41.0,-32.0,-0.42,,17.92704200744629,0.8104084134101868
paleo SU 9006P,ruberwhite,42.0,-32.07,-0.4,,17.570697784423828,0.7755988240242004
paleo SU 9007P,ruberwhite,42.08,-32.58,-0.05,,17.570697784423828,0.7755988240242004
paleo SU 9008P,ruberwhite,43.08,-30.58,-0.22,,16.433916091918945,0.7354058027267456
